Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides
65-74,Bronchospasm Prevention with COPD,2017-10-26,olodaterol mist,166797,4,4,Has really helped my breathing!!,4,Male,"Nervousness, shaking (tremor), and  trouble sleeping  may occur."
65-74,COPD with Chronic Bronchitis,2016-05-18,perforomist vial for nebulizer,148979,2,2,make my mouth blister,1,Male,"Shakiness (tremor),  nausea ,  headache , nervousness,  dizziness ,  dry mouth , or  trouble sleeping  may occur."
65-74,COPD with Chronic Bronchitis,2013-11-01,perforomist vial for nebulizer,148979,5,5, ,5,Female,"Shakiness (tremor),  nausea ,  headache , nervousness,  dizziness ,  dry mouth , or  trouble sleeping  may occur."
75 or over,COPD with Chronic Bronchitis,2013-03-10,perforomist vial for nebulizer,148979,5,5, ,5,Male,"Shakiness (tremor),  nausea ,  headache , nervousness,  dizziness ,  dry mouth , or  trouble sleeping  may occur."
55-64,Bronchi Muscle Spasm resulting from COPD,2007-12-23,perforomist vial for nebulizer,148979,5,5,"This drug is very effective in relieving my breathing problems from COPD and asthma. It lasts a full 12 hours and I have experienced no side-effects whatsoever. The albuterol solution I used to use in my nebulizer would make me shake and made my heart race. The Perforomist doesn't have this effect at all. As a matter of fact, I don't feel any different after a treatment than I did before the treatment, except that I can breathe normally. Since I've been using Perforomist, (once in the morning)I rarely need my fast acting inhaler during the day. My energy level is up and I can do more physical things (like exercise) without my breathing going bad. It's so nice to feel normal after such a long time. Much thanks to the makers of Perforomist. ",5,Female,"Shakiness (tremor),  nausea ,  headache , nervousness,  dizziness ,  dry mouth , or  trouble sleeping  may occur."
55-64,COPD with Chronic Bronchitis,2018-04-11,roflumilast tablet,155805,1,1,"Experienced appetite loss and the more serious side effects of nervousness, thoughts of suicide, depression and trouble sleeping.  Less severe each day but would not take them again if prescribed. I Rated it ineffective because of side effects.  Felt horrible with the feelings it left me with.  I also had flu like symptoms of body aches.  Medication was only prescribed for a month so I Continued to take them to give my body time to adjust to it.  Waking each day with the suicidal thoughts that I experienced are the real reason for the review. I will never take this medication again.",1, ,"Diarrhea ,  weight loss ,  stomach / abdominal pain ,  nausea , loss of appetite,  headache , or  dizziness  may occur."
75 or over,COPD with Chronic Bronchitis,2014-04-23,roflumilast tablet,155805,5,1,How do you know how to answer? I don't notice any difference since I have been taking the pill.,1,Male,"Diarrhea ,  weight loss ,  stomach / abdominal pain ,  nausea , loss of appetite,  headache , or  dizziness  may occur."
65-74,COPD with Chronic Bronchitis,2012-03-20,roflumilast tablet,155805,1,1,This medication made me feel like I was dying.  I had every symptom of the flu but much worse with severe head pain and diahhrea.  I could not leave my house for two weeks after taking only three pills.,1,Female,"Diarrhea ,  weight loss ,  stomach / abdominal pain ,  nausea , loss of appetite,  headache , or  dizziness  may occur."
65-74,COPD with Chronic Bronchitis,2012-02-11,roflumilast tablet,155805,5,5,have a little insomia. have lost about 30#'s,5,Female,"Diarrhea ,  weight loss ,  stomach / abdominal pain ,  nausea , loss of appetite,  headache , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2016-09-21,striverdi respimat mist inhaler,166803,4,4,"After 9-10 months using my first inhaler, I told doctor, I thought it was time for pulmonary testing and change in treatment. After tests, he switched me to Striverdi Respimat and continuing Combivent Respimat twice a day or as required. My life changed for the better. I breathe easier, have more energy, can sleep lying down in a bed and no longer feel like I'm on my last legs.MY BEST ADVICE FOR COPD PATIENTS: Let your doctor know what's going on with your condition. Put it in writing or get help to put it in writing.",4, ,"Nervousness, shaking (tremor), and  trouble sleeping  may occur."
